,AGE,BLK,CFID,CFPARAMS,DEF_RATING,DEF_WS,DREB,DREB_PCT,GP,L,MIN,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_OFF_TOV,OPP_PTS_PAINT,PCT_BLK,PCT_DREB,PCT_STL,PLAYER_ID,PLAYER_NAME,STL,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
123,37.0,18,5,"23,1610612741",98.0,4.35,780,0.319,80,20,2857.75,789,727,899,2242,0.073,0.444,0.096,23,Dennis Rodman,47,CHI,1610612741,60,0.75
124,29.0,39,5,"192,1610612756",103.7,1.82,200,0.1,81,52,2286.56166667,753,672,767,1952,0.154,0.152,0.143,192,Dennis Scott,53,PHX,1610612756,29,0.358
125,23.0,13,5,"1507,1610612739",94.9,3.57,132,0.091,66,26,1837.18333333,464,504,710,1368,0.07,0.127,0.228,1507,Derek Anderson,86,CLE,1610612739,40,0.606
126,23.0,5,5,"965,1610612747",100.6,2.16,155,0.099,82,21,1763.81,543,523,683,1471,0.023,0.14,0.223,965,Derek Fisher,75,LAL,1610612747,61,0.744
127,23.0,1,5,"1575,1610612758",127.0,-0.08,4,0.148,9,7,33.3033333333,23,20,18,36,0.167,0.25,0.429,1575,Derek Grimm,3,SAC,1610612758,2,0.222
128,36.0,10,5,"157,1610612753",100.4,2.15,80,0.055,66,37,1760.61333333,530,543,594,1510,0.051,0.084,0.249,157,Derek Harper,72,ORL,1610612753,29,0.439
129,30.0,24,5,"400,1610612753",100.1,2.09,275,0.197,58,25,1642.6,487,497,557,1390,0.142,0.29,0.112,400,Derek Strong,31,ORL,1610612753,33,0.569
130,31.0,67,5,"934,1610612755",102.8,1.96,436,0.232,59,36,2133.62,677,635,777,1763,0.22,0.347,0.123,934,Derrick Coleman,46,PHI,1610612755,23,0.39
131,31.0,30,5,"365,1610612754",99.7,1.7,137,0.126,57,16,1317.31,376,234,399,890,0.326,0.191,0.235,365,Derrick McKey,57,IND,1610612754,41,0.719
132,35.0,19,5,"96,1610612760",100.7,3.28,418,0.178,78,20,2741.745,898,690,833,2229,0.068,0.268,0.112,96,Detlef Schrempf,60,SEA,1610612760,58,0.744
